번호,라이브러리명,버전,라이선스,공식 저장소 URL
1,aiofiles,25.1.0,Apache-2.0,https://github.com/Tinche/aiofiles
2,aiohappyeyeballs,2.7.1,PSF-2.0,https://github.com/aio-libs/aiohappyeyeballs
3,aiohttp,3.14.3,Apache-2.0 AND MIT,https://github.com/aio-libs/aiohttp
4,aiosignal,1.4.0,Apache 2.0,https://github.com/aio-libs/aiosignal
5,annotated-doc,0.0.4,MIT,https://github.com/fastapi/annotated-doc
6,annotated-types,0.7.0,MIT,https://github.com/annotated-types/annotated-types
7,anyio,4.12.1,MIT,https://github.com/agronholm/anyio
8,asttokens,2.4.1,Apache 2.0,https://github.com/gristlabs/asttokens
9,attrs,26.1.0,MIT,https://github.com/python-attrs/attrs
10,azure-common,1.1.28,MIT,https://github.com/Azure/azure-sdk-for-python
11,azure-core,1.38.3,MIT,https://github.com/Azure/azure-sdk-for-python
12,azure-cosmos,4.15.0,MIT,https://github.com/Azure/azure-sdk-for-python
13,azure-identity,1.25.3,MIT,https://github.com/Azure/azure-sdk-for-python
14,azure-search-documents,12.0.0,MIT,https://github.com/Azure/azure-sdk-for-python
15,azure-storage-blob,12.28.0,MIT,https://github.com/Azure/azure-sdk-for-python
16,beautifulsoup4,4.15.0,MIT,https://www.crummy.com/software/BeautifulSoup/
17,blinker,1.9.0,MIT,https://github.com/pallets-eco/blinker
18,blis,1.3.3,BSD,https://github.com/explosion/cython-blis
19,catalogue,2.0.10,MIT,https://github.com/explosion/catalogue
20,certifi,2026.2.25,MPL-2.0,https://github.com/certifi/python-certifi
21,cffi,2.0.0,MIT,https://github.com/python-cffi/cffi
22,charset-normalizer,3.4.6,MIT,https://github.com/jawah/charset_normalizer
23,click,8.4.2,BSD-3-Clause,https://github.com/pallets/click
24,cloudpathlib,0.23.0,MIT,https://github.com/drivendataorg/cloudpathlib
25,colorama,0.4.6,BSD License,https://github.com/tartley/colorama
26,coloredlogs,15.0.1,MIT,https://github.com/xolox/python-coloredlogs
27,confection,0.1.5,MIT,https://github.com/explosion/confection
28,configparser,7.2.0,MIT,https://github.com/jaraco/configparser
29,contourpy,1.3.3,BSD License,https://github.com/contourpy/contourpy
30,cryptography,46.0.5,Apache-2.0 OR BSD-3-Clause,https://github.com/pyca/cryptography
31,cycler,0.12.1,BSD License,https://github.com/matplotlib/cycler
32,cymem,2.0.13,MIT,https://github.com/explosion/cymem
33,defusedxml,0.7.1,PSFL,https://github.com/tiran/defusedxml
34,deprecation,2.1.0,Apache 2,https://github.com/briancurtin/deprecation
35,devtools,0.12.2,MIT,https://github.com/pydantic/python-devtools
36,distro,1.9.0,"Apache License, Version 2.0",https://github.com/python-distro/distro
37,environs,11.2.1,MIT,https://github.com/sloria/environs
38,et_xmlfile,2.0.0,MIT,https://pypi.org/project/et-xmlfile/
39,executing,2.2.1,MIT,https://github.com/alexmojaki/executing
40,fastapi,0.141.1,MIT,https://github.com/fastapi/fastapi
